,채널명,조회수
2021.01,,
2021.02,피지컬갤러리,"15,900,692"
2021.03,피지컬갤러리,"14,528,418"
2021.04,피지컬갤러리,"8,399,004"
2021.05,지피티,"13,803,434"
2021.06,피지컬갤러리,"19,538,685"
2021.07,헬창TV Korea Fitness HellchangTV,"11,023,292"
2021.08,지피티,"11,688,829"
2021.09,피지컬갤러리,"8,192,377"
2021.10,피지컬갤러리,"12,256,301"
2021.11,MBC every1,"12,461,154"
2021.12,피지컬갤러리,"12,532,756"
2022.01,박승현,"22,901,908"
2022.02,박승현,"28,186,301"
2022.03,박승현,"49,914,726"
2022.04,박승현,"31,083,248"
2022.05,박승현,"49,009,898"
2022.06,박승현,"63,965,260"
