"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"서울특별시  (1100000000)","9,494,807","9,494,807","564,739","752,985","1,412,722","1,430,728","1,470,923","1,507,380","1,290,741","710,430","309,902","42,531","1,726","4,605,655","4,605,655","289,913","385,355","677,376","714,657","728,070","742,728","609,843","322,737","123,551","11,000","425","4,889,152","4,889,152","274,826","367,630","735,346","716,071","742,853","764,652","680,898","387,693","186,351","31,531","1,301"
"서울특별시 종로구 (1111000000)","143,624","143,624","6,703","10,176","22,674","19,363","20,540","24,745","20,405","11,637","6,390","951","40","69,513","69,513","3,385","5,035","10,818","9,634","9,937","12,381","10,234","5,200","2,577","298","14","74,111","74,111","3,318","5,141","11,856","9,729","10,603","12,364","10,171","6,437","3,813","653","26"
"서울특별시 종로구 청운효자동(1111051500)","11,803","11,803","696","1,135","1,501","1,538","2,072","1,905","1,405","934","547","67","3","5,430","5,430","358","599","732","699","910","868","646","370","226","21","1","6,373","6,373","338","536","769","839","1,162","1,037","759","564","321","46","2"
"서울특별시 종로구 사직동(1111053000)","9,310","9,310","535","664","1,168","1,472","1,436","1,543","1,204","710","489","88","1","4,154","4,154","269","289","512","638","637","703","573","290","205","37","1","5,156","5,156","266","375","656","834","799","840","631","420","284","51","0"
"서울특별시 종로구 삼청동(1111054000)","2,386","2,386","91","167","294","294","341","370","407","238","153","28","3","1,130","1,130","42","95","145","131","165","187","186","110","54","14","1","1,256","1,256","49","72","149","163","176","183","221","128","99","14","2"
"서울특별시 종로구 부암동(1111055000)","9,432","9,432","472","833","1,193","1,189","1,521","1,661","1,338","735","409","77","4","4,490","4,490","232","462","608","596","679","769","625","334","166","19","0","4,942","4,942","240","371","585","593","842","892","713","401","243","58","4"
"서울특별시 종로구 평창동(1111056000)","17,963","17,963","1,137","1,543","2,258","2,146","2,661","3,256","2,695","1,323","785","151","8","8,368","8,368","603","752","1,112","1,003","1,192","1,462","1,285","600","319","38","2","9,595","9,595","534","791","1,146","1,143","1,469","1,794","1,410","723","466","113","6"
"서울특별시 종로구 무악동(1111057000)","8,150","8,150","608","956","861","872","1,369","1,438","1,053","591","358","39","5","3,782","3,782","272","422","405","398","645","729","502","250","146","12","1","4,368","4,368","336","534","456","474","724","709","551","341","212","27","4"
"서울특별시 종로구 교남동(1111058000)","9,947","9,947","799","781","1,159","1,541","1,768","1,588","1,195","706","375","33","2","4,580","4,580","395","366","543","692","827","767","550","273","158","9","0","5,367","5,367","404","415","616","849","941","821","645","433","217","24","2"
"서울특별시 종로구 가회동(1111060000)","4,026","4,026","175","300","468","534","668","698","569","381","199","34","0","1,846","1,846","98","145","210","246","322","325","264","154","76","6","0","2,180","2,180","77","155","258","288","346","373","305","227","123","28","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,199","7,199","178","207","983","965","908","1,261","1,400","813","417","62","5","4,270","4,270","91","107","483","555","557","868","923","458","208","16","4","2,929","2,929","87","100","500","410","351","393","477","355","209","46","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,056","5,056","86","195","1,131","759","518","881","762","468","225","29","2","2,685","2,685","40","89","515","443","311","510","444","224","98","10","1","2,371","2,371","46","106","616","316","207","371","318","244","127","19","1"
"서울특별시 종로구 이화동(1111064000)","7,231","7,231","216","347","1,627","1,216","887","1,093","915","570","315","43","2","3,431","3,431","107","166","759","603","445","551","424","251","108","16","1","3,800","3,800","109","181","868","613","442","542","491","319","207","27","1"
"서울특별시 종로구 혜화동(1111065000)","16,369","16,369","602","1,306","4,410","2,010","2,042","2,361","1,672","1,158","698","106","4","7,865","7,865","297","642","2,191","1,058","978","1,134","789","484","261","30","1","8,504","8,504","305","664","2,219","952","1,064","1,227","883","674","437","76","3"
"서울특별시 종로구 창신제1동(1111067000)","4,857","4,857","126","198","607","577","554","980","1,009","522","254","30","0","2,601","2,601","60","106","314","351","285","549","574","254","98","10","0","2,256","2,256","66","92","293","226","269","431","435","268","156","20","0"
"서울특별시 종로구 창신제2동(1111068000)","7,837","7,837","183","398","1,069","913","926","1,756","1,427","775","347","43","0","4,028","4,028","101","210","559","524","498","915","732","336","133","20","0","3,809","3,809","82","188","510","389","428","841","695","439","214","23","0"
"서울특별시 종로구 창신제3동(1111069000)","6,496","6,496","341","450","893","900","856","1,221","1,040","495","258","41","1","3,191","3,191","177","233","461","457","424","589","515","225","91","18","1","3,305","3,305","164","217","432","443","432","632","525","270","167","23","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,835","5,835","221","353","757","789","868","1,126","927","503","252","39","0","2,819","2,819","117","176","366","392","448","549","443","227","91","10","0","3,016","3,016","104","177","391","397","420","577","484","276","161","29","0"
"서울특별시 종로구 숭인제2동(1111071000)","9,727","9,727","237","343","2,295","1,648","1,145","1,607","1,387","715","309","41","0","4,843","4,843","126","176","903","848","614","906","759","360","139","12","0","4,884","4,884","111","167","1,392","800","531","701","628","355","170","29","0"
"서울특별시 중구 (1114000000)","122,088","122,088","6,074","6,502","18,000","19,910","17,206","19,910","17,999","10,377","5,234","840","36","59,364","59,364","3,113","3,237","8,327","9,923","8,790","10,111","8,979","4,695","1,950","225","14","62,724","62,724","2,961","3,265","9,673","9,987","8,416","9,799","9,020","5,682","3,284","615","22"
"서울특별시 중구 소공동(1114052000)","2,237","2,237","157","123","267","494","504","310","236","103","37","6","0","1,073","1,073","82","39","105","221","262","164","132","51","15","2","0","1,164","1,164","75","84","162","273","242","146","104","52","22","4","0"
"서울특별시 중구 회현동(1114054000)","4,733","4,733","172","220","452","554","621","858","1,020","535","240","57","4","2,452","2,452","88","103","215","259","334","480","585","270","103","14","1","2,281","2,281","84","117","237","295","287","378","435","265","137","43","3"
"서울특별시 중구 명동(1114055000)","2,889","2,889","80","146","365","394","415","491","516","305","150","26","1","1,259","1,259","49","66","160","208","176","222","212","119","40","6","1","1,630","1,630","31","80","205","186","239","269","304","186","110","20","0"
"서울특별시 중구 필동(1114057000)","4,036","4,036","164","198","718","677","459","589","615","351","213","51","1","2,079","2,079","85","100","364","349","254","349","317","165","81","14","1","1,957","1,957","79","98","354","328","205","240","298","186","132","37","0"
"서울특별시 중구 장충동(1114058000)","4,639","4,639","153","302","1,224","663","554","610","546","356","202","28","1","2,427","2,427","83","153","669","374","298","314","285","167","74","10","0","2,212","2,212","70","149","555","289","256","296","261","189","128","18","1"
"서울특별시 중구 광희동(1114059000)","5,295","5,295","116","190","1,069","939","603","798","826","518","207","28","1","2,676","2,676","61","85","448","521","321","441","450","255","85","8","1","2,619","2,619","55","105","621","418","282","357","376","263","122","20","0"
"서울특별시 중구 을지로동(1114060500)","1,737","1,737","34","39","239","321","183","269","368","190","80","14","0","1,055","1,055","17","21","109","184","115","195","255","114","41","4","0","682","682","17","18","130","137","68","74","113","76","39","10","0"
"서울특별시 중구 신당동(1114061500)","7,748","7,748","261","275","1,396","1,317","1,067","1,325","1,104","657","291","52","3","3,795","3,795","115","120","599","648","585","706","573","322","113","11","3","3,953","3,953","146","155","797","669","482","619","531","335","178","41","0"
"서울특별시 중구 다산동(1114062500)","13,710","13,710","483","767","2,238","2,200","1,843","2,257","2,005","1,219","604","90","4","6,654","6,654","254","410","1,070","1,134","954","1,094","927","555","230","25","1","7,056","7,056","229","357","1,168","1,066","889","1,163","1,078","664","374","65","3"
"서울특별시 중구 약수동(1114063500)","16,547","16,547","955","924","1,932","2,308","2,340","2,742","2,680","1,617","884","161","4","7,665","7,665","463","471","910","1,092","1,145","1,290","1,227","712","313","41","1","8,882","8,882","492","453","1,022","1,216","1,195","1,452","1,453","905","571","120","3"
"서울특별시 중구 청구동(1114064500)","13,432","13,432","664","828","1,800","2,140","1,789","2,261","2,052","1,147","660","88","3","6,380","6,380","349","415","868","1,076","872","1,086","988","457","246","22","1","7,052","7,052","315","413","932","1,064","917","1,175","1,064","690","414","66","2"
"서울특별시 중구 신당제5동(1114065000)","10,284","10,284","530","516","1,594","1,690","1,516","1,840","1,368","793","388","45","4","4,988","4,988","259","246","715","835","779","978","681","329","151","14","1","5,296","5,296","271","270","879","855","737","862","687","464","237","31","3"
"서울특별시 중구 동화동(1114066500)","10,159","10,159","624","786","1,258","1,299","1,449","1,895","1,539","771","476","60","2","4,884","4,884","346","391","605","628","697","927","764","348","158","20","0","5,275","5,275","278","395","653","671","752","968","775","423","318","40","2"
"서울특별시 중구 황학동(1114067000)","12,649","12,649","694","473","2,130","2,838","1,853","1,783","1,548","895","365","68","2","6,011","6,011","358","230","870","1,409","931","882","764","421","129","17","0","6,638","6,638","336","243","1,260","1,429","922","901","784","474","236","51","2"
"서울특별시 중구 중림동(1114068000)","11,993","11,993","987","715","1,318","2,076","2,010","1,882","1,576","920","437","66","6","5,966","5,966","504","387","620","985","1,067","983","819","410","171","17","3","6,027","6,027","483","328","698","1,091","943","899","757","510","266","49","3"
"서울특별시 용산구 (1117000000)","222,263","222,263","12,344","14,526","32,424","37,880","33,314","36,051","29,361","15,986","8,831","1,469","77","106,743","106,743","6,306","7,352","15,159","18,760","16,401","17,739","14,240","6,989","3,341","437","19","115,520","115,520","6,038","7,174","17,265","19,120","16,913","18,312","15,121","8,997","5,490","1,032","58"
"서울특별시 용산구 후암동(1117051000)","16,636","16,636","836","1,130","2,351","2,773","2,505","2,732","2,269","1,276","647","103","14","8,110","8,110","433","617","1,195","1,444","1,222","1,344","1,059","565","203","25","3","8,526","8,526","403","513","1,156","1,329","1,283","1,388","1,210","711","444","78","11"
"서울특별시 용산구 용산2가동(1117052000)","9,322","9,322","288","477","1,423","1,653","1,294","1,358","1,392","898","461","77","1","4,503","4,503","148","248","745","850","676","627","636","386","167","20","0","4,819","4,819","140","229","678","803","618","731","756","512","294","57","1"
"서울특별시 용산구 남영동(1117053000)","7,260","7,260","162","245","905","1,013","974","1,597","1,397","630","291","40","6","4,419","4,419","85","135","440","526","615","1,106","969","383","148","11","1","2,841","2,841","77","110","465","487","359","491","428","247","143","29","5"
"서울특별시 용산구 청파동(1117055500)","19,309","19,309","599","1,042","4,179","3,267","2,521","3,012","2,457","1,407","733","88","4","8,987","8,987","297","507","1,643","1,737","1,271","1,482","1,167","575","286","21","1","10,322","10,322","302","535","2,536","1,530","1,250","1,530","1,290","832","447","67","3"
"서울특별시 용산구 원효로제1동(1117056000)","16,530","16,530","1,188","944","2,781","3,820","2,626","2,221","1,707","811","369","60","3","7,720","7,720","588","478","1,085","1,783","1,316","1,103","837","360","152","17","1","8,810","8,810","600","466","1,696","2,037","1,310","1,118","870","451","217","43","2"
"서울특별시 용산구 원효로제2동(1117057000)","13,712","13,712","816","1,122","1,876","2,168","2,085","2,265","1,795","984","518","80","3","6,456","6,456","398","469","847","1,081","1,041","1,102","865","451","178","24","0","7,256","7,256","418","653","1,029","1,087","1,044","1,163","930","533","340","56","3"
"서울특별시 용산구 효창동(1117058000)","10,705","10,705","823","727","1,608","1,940","1,659","1,703","1,166","666","359","54","0","5,088","5,088","417","389","761","923","800","802","567","274","138","17","0","5,617","5,617","406","338","847","1,017","859","901","599","392","221","37","0"
"서울특별시 용산구 용문동(1117059000)","11,717","11,717","681","702","1,717","1,960","1,681","1,937","1,574","964","440","59","2","5,632","5,632","330","369","839","982","824","966","718","416","175","13","0","6,085","6,085","351","333","878","978","857","971","856","548","265","46","2"
"서울특별시 용산구 한강로동(1117062500)","21,602","21,602","1,253","995","3,539","4,827","2,882","3,373","2,638","1,266","710","111","8","10,257","10,257","648","525","1,483","2,293","1,404","1,632","1,331","588","316","36","1","11,345","11,345","605","470","2,056","2,534","1,478","1,741","1,307","678","394","75","7"
"서울특별시 용산구 이촌제1동(1117063000)","25,641","25,641","2,391","2,668","2,613","3,108","4,362","4,422","2,967","1,671","1,187","241","11","12,022","12,022","1,265","1,347","1,263","1,372","1,968","2,121","1,452","697","444","89","4","13,619","13,619","1,126","1,321","1,350","1,736","2,394","2,301","1,515","974","743","152","7"
"서울특별시 용산구 이촌제2동(1117064000)","8,194","8,194","497","494","834","1,311","1,194","1,337","1,350","711","396","69","1","3,827","3,827","244","244","419","647","592","624","604","308","132","13","0","4,367","4,367","253","250","415","664","602","713","746","403","264","56","1"
"서울특별시 용산구 이태원제1동(1117065000)","6,308","6,308","217","256","1,006","1,123","807","986","1,010","527","304","72","0","3,085","3,085","104","131","528","618","415","469","465","215","118","22","0","3,223","3,223","113","125","478","505","392","517","545","312","186","50","0"
"서울특별시 용산구 이태원제2동(1117066000)","8,898","8,898","382","447","1,343","1,673","1,309","1,276","1,191","752","455","69","1","4,095","4,095","193","204","651","816","621","592","522","312","159","25","0","4,803","4,803","189","243","692","857","688","684","669","440","296","44","1"
"서울특별시 용산구 한남동(1117068500)","20,247","20,247","1,102","1,139","2,507","3,783","3,230","3,160","2,847","1,539","775","148","17","9,758","9,758","586","572","1,290","1,825","1,605","1,501","1,346","670","315","40","8","10,489","10,489","516","567","1,217","1,958","1,625","1,659","1,501","869","460","108","9"
"서울특별시 용산구 서빙고동(1117069000)","12,979","12,979","722","1,452","1,710","1,431","2,315","2,297","1,565","766","616","104","1","6,220","6,220","368","727","843","717","1,086","1,114","791","322","217","35","0","6,759","6,759","354","725","867","714","1,229","1,183","774","444","399","69","1"
"서울특별시 용산구 보광동(1117070000)","13,203","13,203","387","686","2,032","2,030","1,870","2,375","2,036","1,118","570","94","5","6,564","6,564","202","390","1,127","1,146","945","1,154","911","467","193","29","0","6,639","6,639","185","296","905","884","925","1,221","1,125","651","377","65","5"
"서울특별시 성동구 (1120000000)","283,821","283,821","18,719","18,885","42,648","46,118","42,858","45,680","38,037","20,231","9,413","1,179","53","138,162","138,162","9,576","9,382","20,951","22,607","21,495","22,561","18,629","9,042","3,590","312","17","145,659","145,659","9,143","9,503","21,697","23,511","21,363","23,119","19,408","11,189","5,823","867","36"
"서울특별시 성동구 왕십리제2동(1120052000)","16,320","16,320","1,160","1,100","2,327","2,798","2,467","2,661","2,130","1,130","478","67","2","7,890","7,890","589","575","1,086","1,388","1,223","1,296","1,031","490","191","20","1","8,430","8,430","571","525","1,241","1,410","1,244","1,365","1,099","640","287","47","1"
"서울특별시 성동구 왕십리도선동(1120053500)","26,534","26,534","2,133","1,645","4,203","4,470","4,017","4,343","3,186","1,606","814","116","1","12,555","12,555","1,097","837","1,895","2,062","1,996","2,053","1,568","711","310","26","0","13,979","13,979","1,036","808","2,308","2,408","2,021","2,290","1,618","895","504","90","1"
"서울특별시 성동구 마장동(1120054000)","22,282","22,282","1,101","1,542","4,224","3,186","2,841","3,519","3,186","1,748","818","113","4","10,978","10,978","561","747","2,148","1,650","1,443","1,695","1,585","801","317","31","0","11,304","11,304","540","795","2,076","1,536","1,398","1,824","1,601","947","501","82","4"
"서울특별시 성동구 사근동(1120055000)","12,109","12,109","401","823","4,785","1,611","1,117","1,291","970","722","358","30","1","6,277","6,277","209","374","2,653","911","586","626","460","303","145","10","0","5,832","5,832","192","449","2,132","700","531","665","510","419","213","20","1"
"서울특별시 성동구 행당제1동(1120056000)","13,893","13,893","956","977","2,197","2,280","2,081","2,230","1,717","938","445","67","5","6,670","6,670","481","452","1,028","1,138","1,022","1,062","863","429","174","20","1","7,223","7,223","475","525","1,169","1,142","1,059","1,168","854","509","271","47","4"
"서울특별시 성동구 행당제2동(1120057000)","23,100","23,100","1,681","1,961","2,734","3,440","3,763","3,964","2,912","1,744","797","100","4","10,802","10,802","821","878","1,313","1,609","1,799","1,950","1,369","747","294","21","1","12,298","12,298","860","1,083","1,421","1,831","1,964","2,014","1,543","997","503","79","3"
"서울특별시 성동구 응봉동(1120058000)","15,199","15,199","1,067","1,569","1,701","2,077","2,756","2,471","1,775","1,144","579","60","0","7,258","7,258","567","797","836","1,009","1,301","1,217","812","485","218","16","0","7,941","7,941","500","772","865","1,068","1,455","1,254","963","659","361","44","0"
"서울특별시 성동구 금호1가동(1120059000)","15,081","15,081","1,179","1,076","1,628","2,413","2,549","2,343","2,148","1,131","548","63","3","7,184","7,184","602","553","810","1,128","1,276","1,126","976","503","191","19","0","7,897","7,897","577","523","818","1,285","1,273","1,217","1,172","628","357","44","3"
"서울특별시 성동구 금호2.3가동(1120061500)","22,459","22,459","1,676","1,318","2,668","3,934","3,599","3,610","3,033","1,702","808","105","6","10,668","10,668","859","643","1,356","1,883","1,770","1,700","1,409","739","278","29","2","11,791","11,791","817","675","1,312","2,051","1,829","1,910","1,624","963","530","76","4"
"서울특별시 성동구 금호4가동(1120062000)","14,245","14,245","1,267","940","1,388","2,464","2,573","2,116","1,895","1,058","483","55","6","6,741","6,741","652","485","684","1,113","1,290","1,045","856","438","161","14","3","7,504","7,504","615","455","704","1,351","1,283","1,071","1,039","620","322","41","3"
"서울특별시 성동구 옥수동(1120064500)","25,801","25,801","2,447","1,644","2,637","4,652","4,477","3,810","3,428","1,753","824","122","7","11,985","11,985","1,221","814","1,220","2,085","2,217","1,752","1,540","775","320","37","4","13,816","13,816","1,226","830","1,417","2,567","2,260","2,058","1,888","978","504","85","3"
"서울특별시 성동구 성수1가제1동(1120065000)","16,392","16,392","1,003","1,042","2,423","2,862","2,308","2,997","2,352","937","410","54","4","8,175","8,175","542","546","1,242","1,409","1,134","1,490","1,201","439","158","12","2","8,217","8,217","461","496","1,181","1,453","1,174","1,507","1,151","498","252","42","2"
"서울특별시 성동구 성수1가제2동(1120066000)","12,323","12,323","652","818","1,854","2,310","1,841","1,932","1,668","846","369","33","0","6,047","6,047","336","423","879","1,156","903","959","829","409","145","8","0","6,276","6,276","316","395","975","1,154","938","973","839","437","224","25","0"
"서울특별시 성동구 성수2가제1동(1120067000)","15,608","15,608","702","805","2,078","2,514","2,099","2,820","2,791","1,214","526","55","4","8,154","8,154","355","411","1,077","1,377","1,132","1,515","1,488","566","221","11","1","7,454","7,454","347","394","1,001","1,137","967","1,305","1,303","648","305","44","3"
"서울특별시 성동구 성수2가제3동(1120069000)","10,657","10,657","534","492","1,895","1,832","1,395","1,708","1,544","815","393","47","2","5,345","5,345","282","257","880","922","725","883","830","389","161","15","1","5,312","5,312","252","235","1,015","910","670","825","714","426","232","32","1"
"서울특별시 성동구 송정동(1120072000)","10,343","10,343","439","548","1,653","1,558","1,447","1,865","1,690","777","318","46","2","5,463","5,463","233","299","844","859","802","1,011","914","366","121","13","1","4,880","4,880","206","249","809","699","645","854","776","411","197","33","1"
"서울특별시 성동구 용답동(1120079000)","11,475","11,475","321","585","2,253","1,717","1,528","2,000","1,612","966","445","46","2","5,970","5,970","169","291","1,000","908","876","1,181","898","452","185","10","0","5,505","5,505","152","294","1,253","809","652","819","714","514","260","36","2"
"서울특별시 광진구 (1121500000)","339,893","339,893","17,145","24,632","61,385","54,670","50,134","53,844","44,371","22,429","9,927","1,301","55","163,920","163,920","8,812","12,448","28,722","27,189","24,670","26,339","21,154","10,249","3,973","348","16","175,973","175,973","8,333","12,184","32,663","27,481","25,464","27,505","23,217","12,180","5,954","953","39"
"서울특별시 광진구 화양동(1121571000)","23,723","23,723","342","759","10,495","4,668","2,136","2,079","1,715","1,009","460","57","3","11,296","11,296","170","326","4,529","2,452","1,182","1,132","830","462","197","15","1","12,427","12,427","172","433","5,966","2,216","954","947","885","547","263","42","2"
"서울특별시 광진구 군자동(1121573000)","19,496","19,496","755","980","4,400","3,618","2,520","2,744","2,491","1,336","584","66","2","9,652","9,652","394","506","2,135","1,847","1,312","1,393","1,195","636","223","11","0","9,844","9,844","361","474","2,265","1,771","1,208","1,351","1,296","700","361","55","2"
"서울특별시 광진구 중곡제1동(1121574000)","15,306","15,306","664","694","2,731","2,949","2,030","2,436","2,180","1,108","460","51","3","7,394","7,394","340","361","1,182","1,459","1,073","1,243","1,014","505","206","10","1","7,912","7,912","324","333","1,549","1,490","957","1,193","1,166","603","254","41","2"
"서울특별시 광진구 중곡제2동(1121575000)","21,220","21,220","983","1,310","3,646","3,766","2,971","3,435","2,974","1,477","580","77","1","10,002","10,002","494","663","1,638","1,800","1,474","1,600","1,389","676","254","13","1","11,218","11,218","489","647","2,008","1,966","1,497","1,835","1,585","801","326","64","0"
"서울특별시 광진구 중곡제3동(1121576000)","16,066","16,066","657","865","2,528","2,727","2,171","2,792","2,429","1,302","533","59","3","7,972","7,972","367","434","1,219","1,452","1,124","1,381","1,197","577","206","14","1","8,094","8,094","290","431","1,309","1,275","1,047","1,411","1,232","725","327","45","2"
"서울특별시 광진구 중곡제4동(1121577000)","28,262","28,262","1,203","1,783","4,217","4,067","3,873","5,180","4,574","2,359","905","95","6","13,811","13,811","632","948","2,117","2,068","1,956","2,451","2,164","1,092","360","20","3","14,451","14,451","571","835","2,100","1,999","1,917","2,729","2,410","1,267","545","75","3"
"서울특별시 광진구 능동(1121578000)","11,294","11,294","488","491","2,370","2,488","1,618","1,456","1,294","709","336","41","3","5,218","5,218","259","244","1,026","1,137","823","677","581","320","136","15","0","6,076","6,076","229","247","1,344","1,351","795","779","713","389","200","26","3"
"서울특별시 광진구 광장동(1121581000)","34,349","34,349","2,781","5,400","3,935","3,446","7,181","5,848","3,264","1,470","865","150","9","16,631","16,631","1,444","2,773","1,951","1,522","3,262","2,968","1,621","686","352","50","2","17,718","17,718","1,337","2,627","1,984","1,924","3,919","2,880","1,643","784","513","100","7"
"서울특별시 광진구 자양제1동(1121582000)","22,101","22,101","840","1,431","4,084","3,725","3,256","3,495","2,946","1,538","699","86","1","10,730","10,730","432","755","1,950","1,921","1,615","1,723","1,374","660","276","24","0","11,371","11,371","408","676","2,134","1,804","1,641","1,772","1,572","878","423","62","1"
"서울특별시 광진구 자양제2동(1121583000)","24,273","24,273","1,406","1,762","3,483","3,686","3,776","4,005","3,677","1,731","651","92","4","11,764","11,764","703","930","1,705","1,845","1,861","1,866","1,757","805","267","23","2","12,509","12,509","703","832","1,778","1,841","1,915","2,139","1,920","926","384","69","2"
"서울특별시 광진구 자양제3동(1121584000)","27,775","27,775","2,125","2,486","3,676","3,933","4,397","4,698","3,725","1,666","912","153","4","13,298","13,298","1,092","1,197","1,855","1,824","2,094","2,240","1,820","766","358","50","2","14,477","14,477","1,033","1,289","1,821","2,109","2,303","2,458","1,905","900","554","103","2"
"서울특별시 광진구 자양제4동(1121584700)","18,019","18,019","662","820","2,949","2,874","2,353","2,942","3,058","1,607","676","76","2","8,959","8,959","341","401","1,425","1,539","1,223","1,534","1,488","722","266","19","1","9,060","9,060","321","419","1,524","1,335","1,130","1,408","1,570","885","410","57","1"
"서울특별시 광진구 구의제1동(1121585000)","23,254","23,254","937","1,204","4,926","4,578","3,317","3,422","2,732","1,428","626","79","5","11,084","11,084","463","584","2,219","2,305","1,660","1,655","1,289","648","239","22","0","12,170","12,170","474","620","2,707","2,273","1,657","1,767","1,443","780","387","57","5"
"서울특별시 광진구 구의제2동(1121586000)","26,311","26,311","1,580","2,220","3,556","3,684","4,204","4,556","3,635","1,939","833","99","5","12,654","12,654","809","1,141","1,741","1,844","2,028","2,192","1,671","884","321","23","0","13,657","13,657","771","1,079","1,815","1,840","2,176","2,364","1,964","1,055","512","76","5"
"서울특별시 광진구 구의제3동(1121587000)","28,444","28,444","1,722","2,427","4,389","4,461","4,331","4,756","3,677","1,750","807","120","4","13,455","13,455","872","1,185","2,030","2,174","1,983","2,284","1,764","810","312","39","2","14,989","14,989","850","1,242","2,359","2,287","2,348","2,472","1,913","940","495","81","2"
"서울특별시 동대문구 (1123000000)","337,330","337,330","19,038","22,910","56,465","48,590","48,690","52,053","47,582","27,652","12,759","1,523","68","166,348","166,348","9,739","11,552","27,376","25,044","25,161","26,361","23,150","12,459","5,081","406","19","170,982","170,982","9,299","11,358","29,089","23,546","23,529","25,692","24,432","15,193","7,678","1,117","49"
"서울특별시 동대문구 용신동(1123053600)","32,711","32,711","1,384","1,442","6,469","5,958","4,429","4,665","4,485","2,498","1,240","137","4","16,318","16,318","700","742","2,868","3,054","2,395","2,506","2,343","1,153","519","37","1","16,393","16,393","684","700","3,601","2,904","2,034","2,159","2,142","1,345","721","100","3"
"서울특별시 동대문구 제기동(1123054500)","24,523","24,523","922","1,341","4,565","3,135","2,880","3,760","3,915","2,566","1,280","148","11","12,564","12,564","466","698","2,431","1,737","1,594","2,000","1,910","1,172","510","43","3","11,959","11,959","456","643","2,134","1,398","1,286","1,760","2,005","1,394","770","105","8"
"서울특별시 동대문구 전농제1동(1123056000)","28,912","28,912","1,674","1,828","4,451","3,948","4,095","4,814","4,324","2,456","1,178","136","8","14,483","14,483","858","906","2,273","2,007","2,191","2,469","2,202","1,079","466","31","1","14,429","14,429","816","922","2,178","1,941","1,904","2,345","2,122","1,377","712","105","7"
"서울특별시 동대문구 전농제2동(1123057000)","18,397","18,397","1,126","1,630","2,124","2,145","2,850","3,217","2,824","1,561","828","90","2","8,828","8,828","568","796","1,089","1,087","1,376","1,566","1,283","679","350","33","1","9,569","9,569","558","834","1,035","1,058","1,474","1,651","1,541","882","478","57","1"
"서울특별시 동대문구 답십리제1동(1123060000)","28,899","28,899","2,590","1,966","4,075","5,037","4,816","4,194","3,461","1,792","852","107","9","13,920","13,920","1,313","988","1,825","2,382","2,485","2,048","1,723","810","316","29","1","14,979","14,979","1,277","978","2,250","2,655","2,331","2,146","1,738","982","536","78","8"
"서울특별시 동대문구 답십리제2동(1123061000)","27,993","27,993","1,741","1,821","3,383","4,253","4,002","4,744","4,334","2,446","1,139","128","2","13,577","13,577","861","900","1,694","2,182","2,022","2,319","2,045","1,087","443","23","1","14,416","14,416","880","921","1,689","2,071","1,980","2,425","2,289","1,359","696","105","1"
"서울특별시 동대문구 장안제1동(1123065000)","38,105","38,105","2,303","2,583","5,169","6,141","6,199","5,924","5,565","2,987","1,097","130","7","18,851","18,851","1,208","1,312","2,403","3,140","3,216","2,974","2,672","1,439","451","35","1","19,254","19,254","1,095","1,271","2,766","3,001","2,983","2,950","2,893","1,548","646","95","6"
"서울특별시 동대문구 장안제2동(1123066000)","32,400","32,400","2,646","2,786","3,727","4,815","5,717","4,957","4,433","2,351","842","115","11","16,099","16,099","1,376","1,499","1,868","2,400","2,918","2,470","2,118","1,098","321","27","4","16,301","16,301","1,270","1,287","1,859","2,415","2,799","2,487","2,315","1,253","521","88","7"
"서울특별시 동대문구 청량리동(1123070500)","18,675","18,675","665","1,024","2,135","2,050","2,281","3,179","3,793","2,316","1,083","147","2","9,317","9,317","336","541","1,130","1,135","1,192","1,633","1,873","1,017","419","41","0","9,358","9,358","329","483","1,005","915","1,089","1,546","1,920","1,299","664","106","2"
"서울특별시 동대문구 회기동(1123071000)","10,610","10,610","378","684","3,474","1,491","1,259","1,206","1,002","660","399","55","2","5,100","5,100","191","319","1,635","812","632","611","463","274","148","13","2","5,510","5,510","187","365","1,839","679","627","595","539","386","251","42","0"
