"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"대전광역시 중구 문화2동(3014073000)","12,405","12,405","526","995","1,455","1,215","1,684","2,304","2,136","1,249","744","94","3","6,009","6,009","258","547","795","672","826","1,117","986","515","275","18","0","6,396","6,396","268","448","660","543","858","1,187","1,150","734","469","76","3"
"대전광역시 중구 산성동(3014074000)","26,998","26,998","1,345","2,202","3,046","2,464","3,775","5,079","5,066","2,740","1,135","142","4","13,757","13,757","666","1,167","1,722","1,328","1,996","2,606","2,496","1,319","423","33","1","13,241","13,241","679","1,035","1,324","1,136","1,779","2,473","2,570","1,421","712","109","3"
"대전광역시 서구 (3017000000)","470,332","470,332","34,828","47,412","71,559","63,878","75,519","76,404","59,158","27,175","12,543","1,807","49","231,167","231,167","17,916","24,424","36,510","32,732","36,619","37,067","28,313","12,489","4,699","390","8","239,165","239,165","16,912","22,988","35,049","31,146","38,900","39,337","30,845","14,686","7,844","1,417","41"
"대전광역시 서구 복수동(3017051000)","22,138","22,138","1,876","2,960","2,715","2,404","4,123","3,548","2,623","1,295","521","71","2","10,899","10,899","935","1,488","1,416","1,201","1,951","1,791","1,249","630","221","16","1","11,239","11,239","941","1,472","1,299","1,203","2,172","1,757","1,374","665","300","55","1"
"대전광역시 서구 도마1동(3017052000)","14,960","14,960","675","932","2,437","1,581","1,719","2,521","2,767","1,570","681","77","0","7,642","7,642","344","494","1,395","877","949","1,266","1,300","730","265","22","0","7,318","7,318","331","438","1,042","704","770","1,255","1,467","840","416","55","0"
"대전광역시 서구 도마2동(3017053000)","17,282","17,282","814","1,322","2,462","1,791","2,277","2,884","3,123","1,771","754","81","3","8,685","8,685","447","677","1,357","973","1,208","1,420","1,436","832","321","14","0","8,597","8,597","367","645","1,105","818","1,069","1,464","1,687","939","433","67","3"
"대전광역시 서구 정림동(3017053500)","15,930","15,930","937","1,381","1,830","1,636","2,174","2,901","2,988","1,355","635","91","2","7,758","7,758","501","743","967","851","1,081","1,327","1,416","619","232","21","0","8,172","8,172","436","638","863","785","1,093","1,574","1,572","736","403","70","2"
"대전광역시 서구 변동(3017054000)","15,898","15,898","859","1,175","2,041","1,916","2,227","2,766","2,717","1,482","619","96","0","8,074","8,074","464","627","1,089","1,059","1,161","1,411","1,300","685","254","24","0","7,824","7,824","395","548","952","857","1,066","1,355","1,417","797","365","72","0"
"대전광역시 서구 용문동(3017055000)","12,218","12,218","535","579","2,445","2,110","1,664","1,731","1,683","964","448","56","3","5,860","5,860","269","299","1,144","1,111","849","839","758","414","164","13","0","6,358","6,358","266","280","1,301","999","815","892","925","550","284","43","3"
"대전광역시 서구 탄방동(3017055500)","26,796","26,796","1,527","2,245","5,295","4,594","4,285","4,184","2,877","1,133","572","83","1","12,884","12,884","815","1,188","2,460","2,324","2,015","1,988","1,370","494","217","13","0","13,912","13,912","712","1,057","2,835","2,270","2,270","2,196","1,507","639","355","70","1"
