시점,분류,상해정도별,데이터
2020,공갈,전치2개월이하,1
2020,공갈,전치4개월이하,0
2020,공갈,전치6개월이하,0
2020,공갈,전치6개월초과,0
2020,약취·유인,전치2주이하,3
2020,약취·유인,전치1개월이하,2
2020,약취·유인,전치2개월이하,0
2020,약취·유인,전치4개월이하,0
2020,약취·유인,전치6개월이하,0
2020,약취·유인,전치6개월초과,0
2020,폭력행위등,전치2주이하,1401
2020,폭력행위등,전치1개월이하,790
2020,폭력행위등,전치2개월이하,246
2020,폭력행위등,전치4개월이하,36
2020,폭력행위등,전치6개월이하,6
2020,폭력행위등,전치6개월초과,3
