시점,분류,범죄발생장소,데이터
2016,손괴,상점,574
2016,손괴,시장노점,262
2016,손괴,숙박업소 목욕탕,586
2016,손괴,유흥접객업소,2035
2016,손괴,사무실,752
2016,손괴,공장,138
2016,손괴,공사장광산,188
2016,손괴,창고,62
2016,손괴,역대합실,84
2016,손괴,지하철,13
2016,손괴,기타교통수단내,81
2016,손괴,흥행장,23
2016,손괴,유원지,129
2016,손괴,학교,84
2016,손괴,금융기관,67
2016,손괴,의료기관,109
2016,손괴,종교기관,123
2016,손괴,산야,1103
2016,손괴,해상,75
2016,손괴,부대,1
2016,손괴,공지,28
2016,손괴,주차장,5766
2016,손괴,공중화장실,43
2016,손괴,PC방,61
2017,상해,아파트 연립다세대,3712
2017,상해,단독주택,3000
2017,상해,고속도로,46
2017,상해,노상,14833
2017,상해,백화점,27
2017,상해,슈퍼마켓,93
2017,상해,편의점,159
2017,상해,대형할인매장,12
2017,상해,상점,373
2017,상해,시장노점,259
2017,상해,숙박업소 목욕탕,492
2017,상해,유흥접객업소,4779
2017,상해,사무실,1386
2017,상해,공장,388
2017,상해,공사장광산,261
2017,상해,창고,30
2017,상해,역대합실,134
2017,상해,지하철,28
2017,상해,기타교통수단내,222
2017,상해,흥행장,45
2017,상해,유원지,414
2017,상해,학교,504
2017,상해,금융기관,14
2017,상해,의료기관,380
2017,상해,종교기관,144
2017,상해,산야,194
2017,상해,해상,35
2017,상해,부대,4
2017,상해,구금장소,5
2017,상해,공지,8
2017,상해,주차장,760
2017,상해,공중화장실,40
2017,상해,PC방,74
2017,폭행,아파트 연립다세대,11825
2017,폭행,단독주택,8302
2017,폭행,고속도로,131
2017,폭행,노상,58348
2017,폭행,백화점,98
2017,폭행,슈퍼마켓,286
2017,폭행,편의점,1066
2017,폭행,대형할인매장,46
2017,폭행,상점,1026
2017,폭행,시장노점,539
2017,폭행,숙박업소 목욕탕,1054
2017,폭행,유흥접객업소,11904
2017,폭행,사무실,2770
2017,폭행,공장,451
2017,폭행,공사장광산,416
2017,폭행,창고,55
2017,폭행,역대합실,524
2017,폭행,지하철,267
2017,폭행,기타교통수단내,1357
2017,폭행,흥행장,101
2017,폭행,유원지,1127
2017,폭행,학교,593
2017,폭행,금융기관,54
2017,폭행,의료기관,1062
2017,폭행,종교기관,211
2017,폭행,산야,169
2017,폭행,해상,78
2017,폭행,부대,37
2017,폭행,구금장소,27
2017,폭행,공지,2
2017,폭행,주차장,2516
2017,폭행,공중화장실,107
2017,폭행,PC방,316
2017,체포·감금,아파트 연립다세대,178
2017,체포·감금,단독주택,123
2017,체포·감금,고속도로,8
2017,체포·감금,노상,306
2017,체포·감금,백화점,0
2017,체포·감금,슈퍼마켓,1
2017,체포·감금,편의점,1
2017,체포·감금,대형할인매장,1
2017,체포·감금,상점,9
2017,체포·감금,시장노점,2
2017,체포·감금,숙박업소 목욕탕,42
2017,체포·감금,유흥접객업소,51
2017,체포·감금,사무실,63
2017,체포·감금,공장,5
2017,체포·감금,공사장광산,2
2017,체포·감금,창고,3
2017,체포·감금,역대합실,4
2017,체포·감금,지하철,0
2017,체포·감금,기타교통수단내,74
2017,체포·감금,흥행장,0
2017,체포·감금,유원지,0
2017,체포·감금,학교,7
2017,체포·감금,금융기관,0
2017,체포·감금,의료기관,37
2017,체포·감금,종교기관,8
2017,체포·감금,산야,5
2017,체포·감금,해상,0
2017,체포·감금,부대,0
2017,체포·감금,구금장소,0
2017,체포·감금,공지,1
2017,체포·감금,주차장,38
2017,체포·감금,공중화장실,2
2017,체포·감금,PC방,1
2017,협박,아파트 연립다세대,1789
2017,협박,단독주택,1676
2017,협박,고속도로,112
2017,협박,노상,4979
2017,협박,백화점,7
2017,협박,슈퍼마켓,27
2017,협박,편의점,107
2017,협박,대형할인매장,3
2017,협박,상점,125
2017,협박,시장노점,64
2017,협박,숙박업소 목욕탕,73
2017,협박,유흥접객업소,700
2017,협박,사무실,566
2017,협박,공장,38
2017,협박,공사장광산,33
2017,협박,창고,8
2017,협박,역대합실,20
2017,협박,지하철,8
2017,협박,기타교통수단내,56
2017,협박,흥행장,7
2017,협박,유원지,58
2017,협박,학교,70
2017,협박,금융기관,13
2017,협박,의료기관,99
2017,협박,종교기관,37
2017,협박,산야,30
2017,협박,해상,4
2017,협박,부대,3
2017,협박,구금장소,7
2017,협박,공지,3
2017,협박,주차장,143
2017,협박,공중화장실,2
2017,협박,PC방,19
2017,약취·유인,아파트 연립다세대,23
2017,약취·유인,단독주택,11
2017,약취·유인,고속도로,0
2017,약취·유인,노상,76
2017,약취·유인,백화점,0
2017,약취·유인,슈퍼마켓,0
2017,약취·유인,편의점,0
2017,약취·유인,대형할인매장,1
2017,약취·유인,상점,1
2017,약취·유인,시장노점,0
2017,약취·유인,숙박업소 목욕탕,8
2017,약취·유인,유흥접객업소,6
2017,약취·유인,사무실,1
2017,약취·유인,공장,0
2017,약취·유인,공사장광산,0
2017,약취·유인,창고,0
2017,약취·유인,역대합실,4
2017,약취·유인,지하철,1
2017,약취·유인,기타교통수단내,1
2017,약취·유인,흥행장,0
2017,약취·유인,유원지,3
2017,약취·유인,학교,14
2017,약취·유인,금융기관,0
